year,country,suicide_no
2010,Austria,294
2010,belgium,563
2010,Croatia,192
2010,Denmark,158
2010,Estonia,42
2010,Finland,236
2010,Germany,275
2010,Hungary,547
2010,Iceland,100
2010,Ireland,100
2010,Italy,861
2010,Lithuania,189
2010,Netherland,577
2010,Norway,164
2010,Poland,840
2010,Portugal,265
2010,Spain,690
2010,Sweden,303
2010,Switzerland,282
2010,United Kingdom,963
2011,Austria,313
2011,belgium,600
2011,Croatia,182
2011,Denmark,152
2011,Estonia,40
2011,Finland,202
2011,Germany,250
2011,Hungary,574
2011,Iceland,500
2011,Ireland,400
2011,Italy,863
2011,Lithuania,201
2011,Netherland,513
2011,Norway,164
2011,Poland,760
2011,Portugal,223
2011,Spain,745
2011,Sweden,323
2011,Switzerland,277
2011,United Kingdom,960
2012,Austria,289
2012,belgium,541
2012,Croatia,180
2012,Denmark,167
2012,Estonia,47
2012,Finland,218
2012,Germany,260
2012,Hungary,546
2012,Iceland,110
2012,Ireland,500
2012,Italy,933
2012,Lithuania,174
2012,Netherland,570
2012,Norway,146
2012,Poland,810
2012,Portugal,217
2012,Spain,815
2012,Sweden,335
2012,Switzerland,286
2012,United Kingdom,932
2013,Austria,324
2013,belgium,532
2013,Croatia,146
2013,Denmark,160
2013,Estonia,47
2013,Finland,221
2013,Germany,263
2013,Hungary,505
2013,Iceland,140
2013,Ireland,350
2013,Italy,968
2013,Lithuania,198
2013,Netherland,549
2013,Norway,176
2013,Poland,840
2013,Portugal,241
2013,Spain,960
2013,Sweden,368
2013,Switzerland,285
2013,United Kingdom,993
2014,Austria,324
2014,belgium,561
2014,Croatia,186
2014,Denmark,160
2014,Estonia,48
2014,Finland,190
2014,Germany,258
2014,Hungary,447
2014,Iceland,200
2014,Ireland,300
2014,Italy,932
2014,Lithuania,161
2014,Netherland,589
2014,Norway,147
2014,Poland,760
2014,Portugal,298
2014,Spain,973
2014,Sweden,363
2014,Switzerland,276
2014,United Kingdom,1071
2015,Austria,290
2015,belgium,552
2015,Croatia,197
2015,Denmark,174
2015,Estonia,36
2015,Finland,173
2015,Germany,268
2015,Hungary,479
2015,Iceland,150
2015,Ireland,200
2015,Italy,883
2015,Lithuania,169
2015,Netherland,557
2015,Norway,190
2015,Poland,810
2015,Portugal,550
2015,Spain,923
2015,Sweden,331
2015,Switzerland,280
2015,United Kingdom,1178
2016,Austria,297
2016,belgium,70
2016,Croatia,168
2016,Denmark,500
2016,Estonia,40
2016,Finland,100
2016,Germany,220
2016,Hungary,446
2016,Iceland,330
2016,Ireland,150
2016,Italy,550
2016,Lithuania,129
2016,Netherland,616
2016,Norway,200
2016,Poland,723
2016,Portugal,700
2016,Spain,380
2016,Sweden,351
2016,Switzerland,270
2016,United Kingdom,415
